iter	Passed	Remaining
0	1	110
1	1	94
2	2	86
3	3	81
4	4	81
5	5	80
6	6	81
7	7	82
8	8	80
9	8	79
10	9	80
11	11	84
12	13	88
13	14	89
14	15	88
15	16	85
16	17	84
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	72
26	26	72
27	27	71
28	28	69
29	29	68
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	40	55
42	41	54
43	42	54
44	44	53
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
